Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
CARD11	"caspase recruitment domain family, member 11"	84433	7:2945775-3083579	1	Yes	22.2	yes		DLBCL			L	Dom	oncogene	Mis				"BIMP3,CARMA1,CCDS5336.2,ENSG00000198286.5,NM_032415.4,NP_115791.3,Q9BXL7"
CARS	cysteinyl-tRNA synthetase	833	11:3022152-3078667	1	Yes	15.4	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK			"CARS1,CCDS41600.1,ENSG00000110619.12,NM_001194997.1,NP_001181926.1,NP_001014437.1,P49589"
CASP3	caspase 3	836	4:185548850-185570629	2		35.1	yes		ovarian cancer			E		TSG	D				"CCDS3836.1,CPP32,CPP32B,ENSG00000164305.13,NM_004346.3,NP_004337.2,P42574,Yama,apopain"
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	841	2:202122759-202152434	1	Yes	33.1	yes		"hepatocellular, oral squamous cell, breast"			E	Rec	TSG	"N, S, F"				"CCDS42798.1,Casp-8,ENSG00000064012.17,FLICE,MACH,MCH5,NM_001080125.1,NP_001073594.1,Q14790"
CASP9	caspase 9	842	1:15818765-15850790	2		36.21	yes		glioma			O		TSG	D				"APAF-3,CCDS158.1,ENSG00000132906.13,ICE-LAP6,MCH6,P55211,PPP1R56"
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	863	16:88941266-89043612	1	Yes	24.3	yes		AML			L	Dom	"TSG, fusion"	T	"RUNX1, GLIS2"			"CCDS10972.1,ENSG00000129993.10,ETO2,MTG16,MTGR2,NM_005187.5,NP_005178.4,O75081,RUNX1T3,ZMYND4"
CBFB	"core-binding factor, beta subunit"	865	16:67063148-67134925	1	Yes	22.1	yes		AML			L	Dom	"TSG, fusion"	T	MYH11			"CCDS45508.1,ENSG00000067955.9,PEBP2B,Q13951"
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867	11:119076752-119178859	1	Yes	23.3	yes		"AML, JMML, MDS"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, S, O"	KMT2A			"CBL2,CCDS8418.1,ENSG00000110395.4,NM_005188.3,NP_005179.2,P22681,RNF55,c-Cbl"
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3:105374305-105587887	1	Yes	13.11	yes		AML			L	Rec	TSG	"Mis, S"				"CCDS2948.1,Cbl-b,ENSG00000114423.14,NM_170662.3,NP_733762.2,Q13191,RNF56"
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	19:45281126-45303891	1		13.32	yes		AML			L	Rec	"oncogene, TSG"	M				"CBL-3,CBL-SL,CCDS12643.1,ENSG00000142273.6,NM_012116.3,NP_036248.3,Q9ULV8,RNF57"
CCDC6	coiled-coil domain containing 6	8030	10:61548521-61666414	1	Yes	21.2	yes		"papillary thyroid, CML, NSCLC"			E	Dom	"TSG, fusion"	T	"RET, PDGFRB"			"CCDS7257.1,D10S170,ENSG00000108091.10,H4,NM_005436.4,NP_005427.2,PTC,Q16204,TPC,TST1"
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	57820	14:20779529-20797539	1	Yes	11.2	yes		leiomyoma			M	Dom	"TSG, fusion"	T	HMGA2			"C14orf18,CCDS9547.1,ENSG00000100814.13,HEI10,Q9NPC3"
CCNC	cyclin C	892	6:99990256-100016849	2		16.2	yes		T-ALL			L		TSG	D				"CCDS34502.1,CycC,ENSG00000112237.8,NM_005190.3,NP_005181.2,NP_001013417.1,P24863"
CCND1	cyclin D1	595	11:69455855-69469242	1	Yes	13.3	yes		"CLL, B-ALL, breast"			"L, E"	Dom	"oncogene, fusion"	T	"IGH, FSTL3"			"BCL1,CCDS8191.1,D11S287E,ENSG00000110092.3,NM_053056.2,NP_444284.1,P24385,PRAD1,U21B31"
CCND2	cyclin D2	894	12:4382938-4414516	1	Yes	13.32	yes		"NHL,CLL"			L	Dom	"oncogene, fusion"	T	IGL			"CCDS8524.1,ENSG00000118971.3,NM_001759.3,NP_001750.1,P30279"
CCND3	cyclin D3	896	6:41902671-41909586	1		21.1	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"CCDS4863.1,ENSG00000112576.8,NM_001760.3,NP_001274363.1,NP_001751.1,P30281"
CCNE1	cyclin E1	898	19:30302805-30315215	1	Yes	12	yes		serous ovarian			E	Dom	oncogene	A				"CCDS12419.1,CCNE,ENSG00000105173.9,NM_001238.2,NP_001229.1,P24864"
CCR4	C-C motif chemokine receptor 4	1233	3:32993066-32997841	2		22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"CC-CKR-4,CCDS2656.1,CD194,CKR4,CMKBR4,ChemR13,ENSG00000183813.6,NM_005508.4,NP_005499.1,P51679,k5-5"
CCR7	C-C motif chemokine receptor 7	1236	17:38710021-38721724	2		21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"BLR2,CCDS11369.1,CD197,CDw197,CMKBR7,EBI1,ENSG00000126353.3,NM_001838.3,NP_001829.1,P32248"
CD209	CD209 molecule	30835	19:7804883-7812420	2		13.2	yes		prostate carcinoma			E			Mis				"CCDS12186.1,CDSIGN,CLEC4L,DC-SIGN,DC-SIGN1,ENSG00000090659.13,NM_021155.3,NP_001138369.1,NP_001138367.1,NP_066978.1,Q9NNX6"
CD274	CD274 molecule	29126	9:5450525-5470547	1		24.1	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	CIITA			"B7-H,B7-H1,B7H1,CCDS6464.1,ENSG00000120217.9,NM_014143.3,NP_054862.1,PD-L1,PDCD1LG1,PDL1,Q9NZQ7"
CD28	CD28 molecule	940	2:204571271-204603635	2		33.2	yes		T-cell lymphoma			L		oncogene	Mis				"CCDS2361.1,ENSG00000178562.13,NM_006139.3,NP_001230006.1,NP_006130.1,P10747"
CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"	972	5:149781715-149792314	1		32	yes		NSCLC			E	Dom	"oncogene, fusion"	T	"ROS1, NRG1"			"CCDS47309.1,DHLAG,ENSG00000019582.10,P04233"
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	973	19:42381190-42385439	1	Yes	13.2	yes		"DLBCL, WM"			L	Dom	oncogene	S		yes	Agammaglobulinaemia	"CCDS12589.1,ENSG00000105369.5,IGA,MB-1,NM_021601.3,NP_067612.1,NP_001774.1,P11912"
CD79B	"CD79b molecule, immunoglobulin-associated beta"	974	17:62006100-62009696	1	Yes	23.3	yes		"DLBCL, WM"			L	Dom	oncogene	"Mis, S"		yes	Agammaglobulinaemia	"B29,CCDS42372.1,ENSG00000007312.8,IGB,NM_001039933.1,NP_001035022.1,P40259"
CDC73	cell division cycle 73	79577	1:193091147-193223031	1	Yes	31.2	yes	yes	parathyroid adenoma	"parathyroid adenoma, multiple ossifying jaw fibroma"	hyperparathyroidism-jaw tumour syndrome	"E, M"	Rec	TSG	"Mis, N, F"				"C1orf28,CCDS1382.1,ENSG00000134371.9,FIHP,HRPT1,HRPT2,NM_024529.4,NP_078805.3,Q6P1J9,parafibromin"
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	999	16:68771128-68869451	1	Yes	22.1	yes	yes	"lobular breast, gastric"	gastric	familial gastric carcinoma	E	Rec	TSG	"Mis, N, F, S"				"CCDS10869.1,CD324,ENSG00000039068.14,NM_004360.3,NP_004351.1,P12830,UVO,uvomorulin"
CDH10	cadherin 10	1008	5:24487209-24645087	2		14.2	yes	yes	melanoma	pancreatic ductal adenocarcinoma		E		TSG	"Mis, F, N"				"CCDS3892.1,ENSG00000040731.6,NM_006727.3,NP_006718.2,Q9Y6N8"
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	1009	16:64977656-65156101	1	Yes	21	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"CAD11,CCDS10803.1,ENSG00000140937.9,NM_001797.2,NP_001788.2,OB,P55287"
CDH17	cadherin 17	1015	8:95139399-95220815	2		22.1	yes		melanoma			E		oncogene	Mis				"CCDS6260.1,ENSG00000079112.5,HPT-1,NM_004063.3,NP_004054.3,Q12864,cadherin"
CDK12	cyclin-dependent kinase 12	51755	17:37618292-37691399	1	Yes	12	yes		serous ovarian			E	Rec	TSG	"Mis, N, F"				"CCDS11337.1,CRK7,CRKR,CRKRS,ENSG00000167258.9,KIAA0904,NM_016507.2,NP_055898.1,NP_057591.2,Q9NYV4"
CDK4	cyclin-dependent kinase 4	1019	12:58141510-58146304	1	Yes	14.1		yes		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis				"CCDS8953.1,ENSG00000135446.12,NM_000075.3,NP_000066.1,P11802,PSK-J3"
CDK6	cyclin-dependent kinase 6	1021	7:92234235-92463231	1	Yes	21.2	yes		ALL			L	Dom	"oncogene, fusion"	T	MLLT10			"CCDS5628.1,ENSG00000105810.5,NM_001259.6,NP_001250.1,PLSTIRE,Q00534"
CDKN1A	cyclin dependent kinase inhibitor 1A	1026	6:36646487-36655108	2		21.2	yes		bladder cancer			E		"oncogene, TSG"	"F, N"				"CAP20,CCDS4824.1,CDKN1,CIP1,ENSG00000124762.9,NM_001220778.1,NP_001207707.1,P21,P38936,SDI1,WAF1,p21,p21CIP1,p21Cip1/Waf1"
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	1027	12:12870058-12875305	1	Yes	13.1	yes	yes	"breast, small intestine neuroendocrine tumours"	"pituitary, parathyroid"	multiple endocrine neoplasia type IV	E	Rec	TSG	F				"CCDS8653.1,ENSG00000111276.6,KIP1,NM_004064.3,NP_004055.1,P27KIP1,P46527"
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	1029	9:21968055-21974865	1	Yes	21.3	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	familial malignant melanoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"ARF,CCDS56565.1,CDK4I,CDKN2,CMM2,ENSG00000147889.12,INK4,INK4a,MLM,MTS1,NM_001195132.1,NP_001182061.1,P42771,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1031	1:51426417-51440305	1	Yes	32.3	yes		"glioma, MM"			"O, L"	Rec	TSG	D				"CCDS555.1,ENSG00000123080.6,INK4C,P42773,p18"
CDX2	caudal type homeo box transcription factor 2	1045	13:28536274-28545276	1		12.2	yes		AML			L	Dom	"TSG, fusion"	T	ETV6			"CCDS9328.1,CDX3,ENSG00000165556.9,NM_001265.4,NP_001256.3,Q99626"
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	1050	19:33790840-33793470	1	Yes	13.11	yes		"AML, MDS"			L	Dom	TSG	"Mis, N, F"				"C/EBP-alpha,CCDS54243.1,CEBP,ENSG00000245848.2,NM_004364.3,NP_001272758.1,NP_004355.2,NP_001274364.1,NP_001274353.1,P49715"
CEP89	centrosomal protein 89kDa	84902	19:33369902-33462869	2		13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"CCDC123,CCDS32987.1,ENSG00000121289.13,FLJ14640,NM_032816.3,NP_116205.3,Q96ST8"
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	79145	8:57124315-57131174	1		12.1	yes		salivary adenoma			E	Dom	fusion	T	PLAG1			"CCDS34895.1,COX23,ENSG00000170791.13,MGC2217,NM_024300.3,NP_001011669.1,NP_001011667.1,NP_077276.2,NP_001011668.1,Q9BUK0"
CHD2	chromodomain helicase DNA binding protein 2	1106	15:93443058-93571237	2		26.1	yes		"melanoma, large intestine, CLL, monoclonal B lymphocytosis"			"E, L"		TSG	"Mis, F, N"				"CCDS10374.2,DKFZp547I1315,DKFZp686E01200,DKFZp781D1727,ENSG00000173575.14,FLJ38614,NM_001271.3,NP_001262.3,O14647"
CHD4	chromodomain helicase DNA binding protein 4	1108	12:6679249-6716551	1	Yes	13.31	yes		uterine serous carcinoma			E	Dom	oncogene	"Mis, F, N"				"CCDS8552.1,ENSG00000111642.10,Mi-2b,Mi2-BETA,NM_001273.2,NP_001264.2,Q14839"
CHEK2	CHK2 checkpoint homolog (S. pombe)	11200	22:29083751-29137826	1	Yes	12.1		yes		breast	familial breast cancer	E	Rec	TSG	F				"CCDS33629.1,CDS1,CHK2,ENSG00000183765.16,HuCds1,NM_001005735.1,NP_001005735.1,O96017,PP1425,RAD53,bA444G7"
CHIC2	cysteine-rich hydrophobic domain 2	26511	4:54875956-54930857	2		12	yes		AML			L	Dom	fusion	T	ETV6			"BTL,CCDS3493.1,ENSG00000109220.6,NM_012110.3,NP_036242.1,Q9UKJ5"
CHST11	carbohydrate sulfotransferase 11	50515	12:104850751-105155792	2		23.3	yes		B-CLL			L		"oncogene, fusion"	T				"C4ST,C4ST1,C4St-1,CCDS9099.1,ENSG00000171310.6,HSA269537,NM_018413.5,NP_060883.1,Q9NPF2"
CIC	capicua homolog	23152	19:42788817-42799949	1	Yes	13.2	yes		"oligodendroglioma, soft tissue sarcoma"			"O, M"	Rec	"oncogene, TSG, fusion"	"Mis, F, S,T"	"DUX4L1, FOXO4"			"CCDS12601.1,ENSG00000079432.3,KIAA0306,NM_015125.3,NP_055940.3,Q96RK0"
CIITA	"class II, major histocompatibility complex, transactivator"	4261	16:10971055-11023624	1	Yes	13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6"			"C2TA,CCDS10544.1,ENSG00000179583.13,MHC2TA,NLRA,NM_001286402.1,NP_000237,NP_000237.2,NP_001273331.1,P33076"
CLIP1	CAP-GLY domain containing linker protein 1	6249	12:122757381-122865041	1	Yes	24.31	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"CCDS58285.1,CLIP,CLIP-170,CLIP170,CYLN1,ENSG00000130779.15,P30622,RSN"
CLP1	cleavage and polyadenylation factor I subunit 1	10978	11:57424630-57429340	2		12.1	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS7964.1,ENSG00000172409.5,HEAB,Q92989,hClp1"
CLTC	"clathrin, heavy polypeptide (Hc)"	1213	17:57697219-57773671	1	Yes	23.1	yes		"ALCL, renal"			L	Dom	"TSG, fusion"	T	"ALK, TFE3"			"CCDS32696.1,CLTCL2,ENSG00000141367.7,Hc,NM_004859.3,NP_001275582.1,NP_004850.1,Q00610"
CLTCL1	"clathrin, heavy polypeptide-like 1"	8218	22:19166986-19279237	1	Yes	11.21	yes		ALCL			L	Dom	"TSG, fusion"	T	?			"CCDS46662.1,CHC22,CLH22,CLTCL,CLTD,ENSG00000070371.11,NM_007098.3,NP_009029.3,P53675"
CNBD1	cyclic nucleotide binding domain containing 1	168975	8:87878673-88395087	2		21.3	yes		"gastric cancer, colon cancer"			E			Mis				"CCDS55259.1,ENSG00000176571.7,FLJ35802,NM_173538.2,NP_775809.1,Q8NA66"
CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	7555	3:128888945-128902753	1	Yes	21.3	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"CCDS46906.1,CNBP1,DM2,ENSG00000169714.12,P62633,RNF163,ZCCHC22,ZNF9"
CNOT3	CCR4-NOT transcription complex subunit 3	4849	19:54645112-54659418	1	Yes	13.42	yes		T-ALL			L	Rec	TSG	"Mis, N, F"				"CCDS12880.1,ENSG00000088038.13,KIAA0691,LENG2,NOT3,NOT3H,O75175"
CNTNAP2	contactin associated protein like 2	26047	7:145813453-148118090	2		36.1	yes		"glioma, melanoma"			"E, O"		TSG	Mis				"CCDS5889.1,Caspr2,ENSG00000174469.13,KIAA0868,NM_014141.5,NP_054860.1,NRXN4,Q9UHC6"
CNTRL	centriolin	11064	9:123837290-123939886	1		33.2	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"CCDS35118.1,CEP1,CEP110,ENSG00000119397.12,Q7Z7A1"
COL1A1	"collagen, type I, alpha 1"	1277	17:48260650-48278993	1		21.33	yes		"DFSP, aneurysmal bone cyst"			M	Dom	fusion	T	"PDGFB, USP6"	yes	Osteogenesis imperfecta	"CCDS11561.1,ENSG00000108821.9,NM_000088.3,NP_000079,NP_000079.2,OI4,P02452"
COL2A1	"collagen, type II, alpha 1"	1280	12:48366748-48398269	1	Yes	13.11	yes		"chondrosarcoma, enchondroma"			"L, E, M"	Rec	fusion	"F, Mis, N, T"		yes	"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others"	"AOM,CCDS41778.1,ENSG00000139219.13,NM_033150.2,NP_149162.2,NP_001835.3,P02458,SEDC,STL1"
COL3A1	collagen type III alpha 1 chain	1281	2:189839046-189877472	2		32.2	yes		lipoblastoma			E		fusion	T	PLAG1			"CCDS2297.1,EDS4A,ENSG00000168542.8,NM_000090.3,NP_000081,NP_000081.1,P02461"
COX6C	cytochrome c oxidase subunit VIc	1345	8:100890094-100906290	2		22.2	yes		uterine leiomyoma			M	Dom	fusion	T	HMGA2			"CCDS6284.1,ENSG00000164919.6,NM_004374.3,NP_004365.1,P09669"
CPEB3	cytoplasmic polyadenylation element binding protein 3	22849	10:93809388-94050844	2		23.32	yes		lung cancer			E		TSG	D				"CCDS31246.1,ENSG00000107864.10,KIAA0940,NM_014912.4,NP_055727.3,Q8NE35"
CREB1	cAMP responsive element binding protein 1	1385	2:208394616-208468155	1		33.3	yes		"clear cell sarcoma, angiomatoid fibrous histiocytoma"			M	Dom	"oncogene, fusion"	T	EWSR1			"CCDS2375.1,ENSG00000118260.10,NM_134442.3,NP_604391.1,P16220"
CREB3L1	cAMP responsive element binding protein 3-like 1	90993	11:46299212-46342972	1	Yes	11.2	yes		myxofibrosarcoma			M	Dom	"TSG, fusion"	T	FUS			"CCDS53620.1,ENSG00000157613.6,NM_052854.3,NP_443086.1,OASIS,Q96BA8"
CREB3L2	cAMP responsive element binding protein 3-like 2	64764	7:137559725-137686803	1	Yes	33	yes		fibromyxoid sarcoma			M	Dom	"oncogene, fusion"	T	FUS			"BBF2H7,CCDS34760.1,ENSG00000182158.10,NM_194071.3,NP_919047.2,Q70SY1,TCAG_1951439"
CREBBP	CREB binding protein (CBP)	1387	16:3775055-3930727	1	Yes	13.3	yes		"ALL, AML, DLBCL, B-NHL"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, N, F, Mis, O"	"KMT2A, MORF, KAT6A"	yes	Rubinstein-Taybi syndrome	"CBP,CCDS10509.1,ENSG00000005339.8,KAT3A,NM_004380.2,NP_004371.2,Q92793,RSTS,RTS"
CRLF2	cytokine receptor-like factor 2	64109	X:1314890-1331527	1	Yes	22.33	yes		"B-ALL, Downs associated ALL"			L	Dom	"oncogene, fusion"	"Mis, T"	"P2RY8, IGH"			"CRL2,ENSG00000205755.6,NM_022148.2,NP_071431.2,TSLPR"
CRNKL1	crooked neck pre-mRNA splicing factor 1	51340	20:20015012-20036690	2		11.23	yes		base cell carcinoma			E			Mis				"CCDS33446.1,CLF,CRN,Clf1,ENSG00000101343.10,NM_016652.5,NP_057736.4,Q9BZJ0,SYF3"
CRTC1	CREB regulated transcription coactivator 1	23373	19:18794488-18893004	1	Yes	13.11	yes		salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	MAML2			"CCDS42525.1,ENSG00000105662.11,FLJ14027,KIAA0616,MECT1,NM_001098482.1,NP_001091952.1,Q6UUV9,TORC1"
CRTC3	CREB regulated transcription coactivator 3	64784	15:91073300-91186045	1		26.1	yes		salivary gland mucoepidermoid			E	Dom	fusion	T	MAML2			"CCDS32331.1,ENSG00000140577.11,FLJ21868,Q6UUV7"
CSF1R	colony stimulating factor 1 receptor	1436	5:149432854-149492935	2		32	yes		"MDS, CML, AML, hemangioblastoma, CCRCC"			"L, M, E"		oncogene	"Mis, N"		yes	diffuse leukoencephalopathy with spheroids	"C-FMS,CCDS4302.1,CD115,CSFR,ENSG00000182578.9,FMS,NM_005211.3,NP_001275634.1,NP_005202.2,P07333"
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441	1:36931644-36948879	1	Yes	34.3	yes		"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS"			L	Dom	oncogene	"Mis, N"		yes	"Kostmann syndrome, severe congenital neutropenia"	"CCDS414.1,CD114,ENSG00000119535.13,GCSFR,NM_156039.3,NP_724781.1,Q99062"
CSMD3	CUB and Sushi multiple domains 3	114788	8:113235157-114449328	2		23.3	yes		"ovarian cancer, oral SCC, lung cancer"			E		TSG	"Mis, N"				"CCDS6315.1,ENSG00000164796.13,NM_198123.1,NP_937756.1,Q7Z407"
CTCF	CCCTC-binding factor	10664	16:67596310-67673086	1	Yes	22.1	yes		"endometrial, breast, head and neck cancer"			E	Dom	TSG	"Mis, N"			"Mental retardation, autosomal dominant 21"	"CCDS10841.1,ENSG00000102974.10,NM_006565.3,NP_006556.1,P49711"
CTNNA1	Catenin Alpha 1	1495	5:138089112-138270723	2		31.2	yes	yes	"AML, MDS, cutaneous melanoma"	gastric cancer	Hereditary Diffuse Gastric Cancer Syndrome	"E, L"		"TSG, fusion"	"D, Mis, N, T"	RAF1			"CAP102,CCDS34243.1,ENSG00000044115.16,NM_001903.2,NP_001894.2,P35221"
CTNNA2	catenin alpha 2	1496	2:79412357-80875904	2		12	yes		gastric cancer			E		oncogene	"Mis, S"				"CAP-R,CCDS42703.2,CT114,ENSG00000066032.14,P26232"
CTNNB1	"catenin (cadherin-associated protein), beta 1"	1499	3:41240930-41281936	1	Yes	22.1	yes		"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types"			"E, M, O"	Dom	"oncogene, fusion"	"Mis, O, T"	PLAG1			"CCDS2694.1,CTNNB,ENSG00000168036.12,NM_001904.3,NP_001895.1,P35222,armadillo,beta-catenin"
CTNND1	catenin delta 1	1500	11:57529269-57586650	2		12.1	yes		large intestine carcinoma			E			N				"CCDS44604.1,CTNND,ENSG00000198561.8,KIAA0384,NM_001085458.1,NP_001078927.1,O60716,p120,p120cas,p120ctn"
CTNND2	catenin delta 2	1501	5:10971952-11904155	2		15.2	yes		"prostae adenocarcinoma, GIST"			E		oncogene	Mis				"CCDS3881.1,ENSG00000169862.14,GT24,NM_001332.2,NPRAP,NP_001275645.1,NP_001275646.1,NP_001275644.1,NP_001323.1,Q9UQB3"
CUL3	cullin 3	8452	2:225334867-225450065	2		36.2	yes		lung cancer			E		TSG	N				"CCDS2462.1,ENSG00000036257.8,NM_003590.4,NP_003581.1,Q13618"
CUX1	cut-like homeobox 1	1523	7:101459291-101901513	1	Yes	22.1	yes		"endometrial, melanoma, colorectal, AML, MDS, other tumour types"			"E,L,M,O"	Dom	"oncogene, TSG"	"N,F,S,Mis,O,T"	CLDN7			"CASP,CCDS56498.1,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,Clox,Cux/CDP,ENSG00000257923.5,GOLIM6,NM_001202543.1,NP_001189472.1,P39880"
CXCR4	C-X-C motif chemokine receptor 4	7852	2:136871919-136873813	1	Yes	22.1	yes	yes	WM			L	Dom	oncogene	"Mis, N, F"				"CCDS33295.1,CD184,D2S201E,ENSG00000121966.6,HM89,HSY3RR,LESTR,NM_001008540.1,NPY3R,NPYR,NPYY3R,NP_001008540.1,P61073,fusin"
CYLD	familial cylindromatosis gene	1540	16:50776671-50835846	1	Yes	12.1	yes	yes	cylindroma	cylindroma	"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome"	E	Rec	TSG	"Mis, N, F, S"				"CCDS45482.1,CYLD1,ENSG00000083799.13,KIAA0849,Q9NQC7,USPL2"
CYP2C8	cytochrome P450 family 2 subfamily C member 8	1558	10:96796530-96829254	2		23.33	yes		melanoma			E			Mis				"CCDS7438.1,CPC8,ENSG00000138115.9,NM_001198855.1,NP_000761.3,NP_001185784.1,NP_001185782.1,P10632"
CYSLTR2	cysteinyl leukotriene receptor 2	57105	13:49280951-49283498	2		14.2	yes		uveal melanoma			E		oncogene	Mis				"CCDS9412.1,CYSLT2R,CysLT(2),ENSG00000152207.3,NM_020377.2,NP_065110.1,Q9NS75"
DAXX	death-domain associated protein	1616	6:33286335-33290791	1	Yes	21.32	yes		"pancreatic neuroendocrine tumour, paediatric glioblastoma"			E	Rec	"oncogene, TSG"	"Mis, F, N"				"CCDS4776.1,DAP6,ENSG00000204209.6,NM_001350.4,NP_001135442.1,NP_001341.1,NP_001135441.1,Q9UER7"
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	340578	X:125298337-125300080	2		25	yes		CRC			E			Mis				"CCDS43991.1,ENSG00000198354.4,NM_001013628.2,NP_001013650.1,Q5VW00,WDR40C"
DCC	DCC netrin 1 receptor	1630	18:49866542-51057784	2		21.2	yes		"CRC, melanoma, SCC"			E			"Mis, N, D"				"CCDS11952.1,ENSG00000187323.7,IGDCC1,NM_005215.3,NP_005206.2,NTN1R1,P43146"
DCTN1	dynactin 1	1639	2:74588281-74607482	1		13.1	yes		"inflammatory myofibroblastic tumour, Spitzoid tumour"			M	Dom	fusion	T	"ALK, ROS1"	yes	"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome"	"CCDS1939.1,ENSG00000204843.8,NM_004082.4,NP_004073.2,Q14203"
DDB2	damage-specific DNA binding protein 2	1643	11:47236493-47260767	1	Yes	11.2		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (E)	E	Rec	"oncogene, TSG"	"Mis, N"				"CCDS7927.1,DDBB,ENSG00000134574.7,FLJ34321,NM_000107.2,NP_000098.1,Q92466,UV-DDB2,XPE"
DDIT3	DNA-damage-inducible transcript 3	1649	12:57910372-57914300	1	Yes	13.3	yes		liposarcoma			M	Dom	"oncogene, fusion"	T	"FUS, EWSR1"			"CCDS55838.1,CHOP,CHOP10,ENSG00000175197.6,GADD153,NM_001195056.1,NP_001181985.1,NP_001181982.1,NP_001181983.1,NP_001181984.1,P35638"
DDR2	discoidin domain receptor 2	4921	1:162602255-162757190	1	Yes	23.3	yes		"squamous cell carcinoma, NSCLC"			E	Dom	oncogene	"Mis, N"		yes	"Spondylometaepiphyseal dysplasia, short limb-hand type"	"CCDS1241.1,ENSG00000162733.12,NM_001014796.1,NP_001014796.1,NTRKR3,Q16832,TKT,TYRO10"
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	11:108535752-108811657	1	Yes	22.3	yes		AML*			L	Dom	"TSG, fusion"	T	NUP98			"CCDS8342.1,Dbp4,ENSG00000178105.5,HRH-J8,NM_004398.2,NP_004389.2,Q13206"
DDX3X	"DEAD-box helicase 3, X-linked"	1654	X:41192651-41209462	1	Yes	11.4	yes		"CLL, medulloblastoma"			"L, O"		TSG	"Mis, N, F"		yes	"Mental retardation, X-linked 102"	"CCDS43931.1,DBX,DDX14,DDX3,ENSG00000215301.5,HLP2,NM_001356.3,NP_001180346.1,NP_001347.3,NP_001180345.1,O00571"
DDX5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	1655	17:62495734-62502639	1	Yes	23.3	yes		prostate			E	Dom	"oncogene, fusion"	T	ETV4			"CCDS11659.1,ENSG00000108654.7,G17P1,HLR1,NM_004396.3,NP_004387.1,P17844,p68"
